"","classification","score","text"
"148","Neutral",0," rn put dot december "
"149","Neutral",0," rn don expect december "
"150","Neutral",0," rn cancellation november "
"151","Neutral",0," rn quid fligys november "
"152","Neutral",0," booked app arrived bangkok journey time mins centre bangkok traffic terrible hour leave travel time airport clean tidied huge huge food selection "
"153","Neutral",0," im lucky met delays heard people delay hours cancelled free water spend money leave thirsty aircraft cancellatikn booking "
"154","Neutral",0," rn anymore november "
"155","Neutral",0," cabin crew delivered good friendly service flights delayed hour bit inconvenient caused technical issue chain reaction traffics airportsoverall alright "
"156","Neutral",0," rn turtle lol november "
"157","Neutral",0," rn wouldn book november "
"158","Neutral",0," attempted booking day indonesia allowing book informed credit cards foreign bank cards hours booking atm transfer googled "
"159","Neutral",0," dont multiple comments received locals trusted fact biggest private indonesia comments flights booked delayed hours book flights "
"160","Neutral",0," rn late october "
"161","Neutral",0," recently flights jakarta yogyakarta back jakarta flights late leaving yogya half hours late give credit point gave fried chicken box doesn free water "
"162","Neutral",0," rn ’ long ’ relying time october "
"163","Neutral",0," rn pay october "
"164","Neutral",0," rn feet october "
"165","Neutral",0," rn flying plane october "
"166","Neutral",0," flew times satisfactory schedule delayed long landing plane slammed mid october flew batam kuala namu medan medan penang malaysia boarding schedule calling officers "
"167","Neutral",0," rn make fly october "
"168","Neutral",0," lot airlines group yogyakarta bandung oktober oclock delayed weather boarding poor enjoy half hour yogyakarta minutes top yogyakarta "
"169","Neutral",0," price cheap airplane delayed reason people flexible time recomended aircraft recommend plane "
"170","Neutral",0," rn longer luggage fly october "
"171","Neutral",0," omg wait plane hour landed minutes lot bags minutes "
"172","Neutral",0," rn late october "
"173","Neutral",0," rn time october "
"174","Neutral",0," cheaper time delay mess boarding people carry bags crew manage bag bigger allowed bag board bags stop respect "
"175","Neutral",0," rn average service september "
"176","Neutral",0," rn late september "
"177","Neutral",0," rn champion delay september "
"178","Neutral",0," rn time inthe morning september "
"179","Neutral",0," rn typical low cost career september "
"180","Neutral",0," rn running late september "
"181","Neutral",0," rn leg room september "
"182","Neutral",0," rn master delay september "
"183","Neutral",0," rn average september "
"184","Neutral",0," rn short distance september "
"185","Neutral",0," minutes late announcing plane solo total delay adds hours screwed night planning driving amed night pay bit extra reliable managed time worth "
"186","Neutral",0," rn low cost compagny banished august "
"187","Neutral",0," time time alternative don recommend slightly asia departure time accident past notorious indonesia garuda promo day citilink subsidiary "
"188","Neutral",0," rn august "
"189","Neutral",0," fly airlines cheapest price compared airlines time delayed hour delay queue luckily provide refreshment tough biscuit mineral water prepared arrive airport minimum hours ahead check "
"190","Neutral",0," reached gate told gate agent delayed minutes due equipment change end hours delay departure arrival hour clear immigration fortunately connection catch "
"191","Neutral",0," increased service daily service larger aircraft seat pitch smaller plane slightly late possibly due traffic denpasar "
"192","Neutral",0," rn time august "
"193","Neutral",0," replaced cheap booked asia fight jkt kl kl bkk melindo night day difference usual cheap cheerful fight room leg melindo partner decent leg "
"194","Neutral",0," rn airlines maintain schedule august "
"195","Neutral",0," rn august "
"196","Neutral",0," rn low cost airplane august "
"197","Neutral",0," airplane good hurry choose airplane delay everyday "
"198","Neutral",0," rn maltratan equipajes august "
"199","Neutral",0," rn fine delayed august "
"200","Neutral",0," rn indonesia garuda august "
"201","Neutral",0," rn true low cost august "
"202","Neutral",0," true type low cost charge water "
"203","Neutral",0," rn august "
"204","Neutral",0," rn money budget july "
"205","Neutral",0," booked time offer direct connection kno pdg expected time servicd onboard pay small water good service landing pdg confusing brake runway landing machine "
"206","Neutral",0," rn line july "
"207","Neutral",0," disappointed understand competitive price offset maximum service raises complaints arise choice enjoy trip "
"208","Neutral",0," rn recommeded special july "
"209","Neutral",0," rn avoid july "
"210","Neutral",0," rn route airport indonesia july "
"211","Neutral",0," years ago people complaint dont option market leader indonesia route city indonesia low cost carrier dont expect entertainmnent thing made improvement "
"212","Neutral",0," traveled jambi service slow staff helpful friendly staff playing customer ticket agreement check time minutes departure reality customer check minutes departure rejected check counter "
"213","Neutral",0," rn july "
"214","Neutral",0," budget unlike airlines include kilos luggage person don worry luggage family travelling hari raya idul fitri price times normal price reasonable frequent flights jakarta "
"215","Neutral",0," rn surprisingly time july "
"216","Neutral",0," rn price service july "
"217","Neutral",0," offer cheap ticket big cities indonesia earlier book cheaper price batik sister east part indonesia fly malaysia thailand armada aircrafts ground staff "
"218","Neutral",0," rn minus late min july "
"219","Neutral",0," rn late late late june "
"220","Neutral",0," rn late nature june "
"221","Neutral",0," rn time plm pgk return june "
"222","Neutral",0," rn singapore june "
"223","Neutral",0," rn good cheap june "
"224","Neutral",0," rn timers june "
"225","Neutral",0," rn average june "
"226","Neutral",0," rn ontime june "
"227","Neutral",0," rn charter direct guangzhou manado june "
"228","Neutral",0," time flying company hours delayed boat gili late time charged extra taxes imagine reach gili airplane stood min stopped hot inside plane "
"229","Neutral",0," rn stinking toilets "
"230","Neutral",0," rn good delay "
"231","Neutral",0," rn destination "
"232","Neutral",0," destination customer service time departure reasonable baggage policy ’ slogan “ fly cheap” good thing accomplishing safety complaints flights "
"233","Neutral",0," rn average "
"234","Neutral",0," rn expected budget "
"235","Neutral",0," rn morning hoamz april "
"236","Neutral",0," rn april "
"237","Neutral",0," rn fly april "
"238","Neutral",0," rn don april "
"239","Neutral",0," rn family trip years years april "
"240","Neutral",0," rn fly april "
"241","Neutral",0," complete joke mob customer completely website booking process doesn work app won accept payment days hotel reserve pay flights apparently don accept foreign transfers credit cards figure unable book "
"242","Neutral",0," biggest company indonesia cover destination indonesia including remote location wings company group serve smaller aircraft schedule make choose schedule providing cheap ticket compare ideal "
"243","Neutral",0," rn fast frills travel cheap march "
"244","Neutral",0," ve flown times years chaotic legroom real board service efficient indonesian archipelago constantly expanding list destinations subsidiary wings covers large stretch "
"245","Neutral",0," rn helpfull march "
"246","Neutral",0," nam cancelled time arrived airport ado directed customer service office hour airport suffered tropical deluge staff politely diligently worked passengers "
"247","Neutral",0," rn ontime cheap comfortable march "
"248","Neutral",0," efficient check asked aisle seat boarded time comfortable cheap snacks landed time complaints time comfortable cheap price "
"249","Neutral",0," caught denpasar surabaya check queue long didnt give myslef lot time minutes check efficient time rear window seat comfort factor poor legs squeezed seat unable reline snacks "
"250","Neutral",0," rn time february "
"251","Neutral",0," rn low cost carier indonesia february "
"252","Neutral",0," rn wrost indonesia february "
"253","Neutral",0," space legroom service smiling attendents wrost short delay half hours "
"254","Neutral",0," rn hotel provided canceled february "
"255","Neutral",0," rn unexpected decent service january "
"256","Neutral",0," rn unexpected fantastic service january "
"257","Neutral",0," rn care january "
"258","Neutral",0," lcc indonesia airlines care passenger airport minute check due business travel airport gate office told check closed check "
"259","Neutral",0," rn expected january "
"260","Neutral",0," rn wings winging january "
"261","Neutral",0," rn announcement january "
"262","Neutral",0," budget expectations basic expectations clean seat trey table met horrible crew didn people water don hostesses plane inflight service "
"263","Neutral",0," flying order vacation family night bali surabaya web check approximately hours check time ensure departure weather good rain clouds thick difficult penetrate thick clouds "
"264","Neutral",0," rn horror january "
"265","Neutral",0," rn budget airlines indonesia december "
